categories = ['Arts and Entertainment', 'Business and Consumer Services', 'Community and Society', 'Computers Electronics and Technology', 'eCommerce and Shopping', 'Finance', 'Food and Drink', 'Gambling', 'Games', 'Health', 'Heavy Industry and Engineering', 'Hobbies and Leisure', 'Home and Garden', 'Jobs and Career', 'Law and Government', 'Lifestyle', 'News and Media Publishers', 'Pets and Animals', 'Reference Materials', 'Science and Education', 'Sports', 'Travel and Tourism', 'Vehicles', 'Adult']

Extension,index,load_time,website,key
adblock,1,-54788,www.lastnighton.com,NULL
adblock,2,-44158,www.cqkjwx.com,NULL
adblock,3,-39176,www.360doc.com,NULL
adblock,4,-38416,www.thesun.co.uk,News
adblock,5,-35966,www.schooldigger.com,NULL
adblock,6,-35634,www.dailymail.co.uk,News
adblock,7,-34539,www.livescience.com,Science
adblock,8,-34089,www.hollywoodreporter.com,News
adblock,9,-33495,www.techradar.com,News
adblock,10,-30097,www.huffpost.com,News
adblock,11,-24985,www.huffingtonpost.com,News
adblock,12,-22781,www.variety.com,Arts & Entertainment
adblock,13,-22231,www.box.com,Sports
adblock,14,-20046,www.foxnews.com,News
adblock,15,-19864,www.rollingstone.com,Arts & Entertainment
adblock,16,-19482,www.reuters.com,News
adblock,17,-19403,www.codexnomina.com,NULL
adblock,18,-17426,www.speedtest.net,Computer
adblock,19,-17194,www.mlb.com,Sports
adblock,20,-16913,www.arstechnica.com,NULL
adblock,21,-16720,www.careerindia.com,NULL
adblock,22,-15377,www.gitee.com,NULL
adblock,23,-15250,www.sfgate.com,News
adblock,24,-15232,www.slate.com,News
adblock,25,-15194,www.marinelink.com,NULL
adblock,26,-15070,www.time.com,News
adblock,27,-13679,www.eventbrite.com,Arts & Entertainment
adblock,28,-13480,www.netscape.com,NULL
adblock,29,-12789,www.pornhub.com,Adult
adblock,30,-11580,www.thehill.com,News
adblock,31,-11453,www.nypost.com,News
adblock,32,-11381,www.metsmerizedonline.com,NULL
adblock,33,-10891,www.smithsonianmag.com,Reference
adblock,34,-10797,www.nicovideo.jp,Arts-and-Entertainment
adblock,35,-10285,www.lifehacker.com,NULL
adblock,36,-9411,www.atlassian.net,Computers & Electronics
adblock,37,-9280,www.gamespot.com,Games
adblock,38,-8726,www.britannica.com,Reference
adblock,39,-8655,www.hy-dl.com.cn,NULL
adblock,40,-8475,www.genius.com,Arts & Entertainment
adblock,41,-8461,www.chron.com,News
adblock,42,-8029,www.ndtv.com,News
adblock,43,-7740,www.marketwatch.com,Business & Industrial
adblock,44,-7736,www.usatoday.com,News
adblock,45,-7486,www.dytt8.net,NULL
adblock,46,-7275,www.wired.com,NULL
adblock,47,-7118,www.hatena.ne.jp,NULL
adblock,48,-7116,www.ign.com,Games
adblock,49,-7095,www.moneycontrol.com,Finance
adblock,50,-7012,www.notthebee.com,Arts & Entertainment
adblock,51,-6943,www.wowhead.com,Arts & Entertainment
adblock,52,-6942,www.wps.cn,NULL
adblock,53,-6851,www.shein.com,Lifestyle
adblock,54,-6808,www.twitch.tv,Arts & Entertainment
adblock,55,-6316,www.dictionary.com,Reference
adblock,56,-6310,www.patient.info,NULL
adblock,57,-6269,www.thetimes.co.uk,News
adblock,58,-6050,www.zendesk.com,NULL
adblock,59,-5853,www.newscientist.com,NULL
adblock,60,-5702,www.bestbuy.com,Computers-Electronics-and-Technology
adblock,61,-5638,www.andropalace.org,NULL
adblock,62,-5602,www.pcmag.com,Shopping
adblock,63,-5452,www.thisvid.com,NULL
adblock,64,-5378,www.timeanddate.com,Science-and-Education
adblock,65,-5273,www.record-ragnarok.com,NULL
adblock,66,-5193,www.mida.gov.my,NULL
adblock,67,-5163,www.verizon.com,Internet & Telecom
adblock,68,-5108,www.hilton.com,Travel
adblock,69,-5102,www.theverge.com,Computers & Electronics
decentraleyes,1,-44107,www.cqkjwx.com,NULL
decentraleyes,2,-38859,www.thesun.co.uk,News
decentraleyes,3,-37358,www.360doc.com,NULL
